,ID,Source,Unnamed: 2,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight,Severity
count,60393,60393,0.0,60393,60393,60393.0,60393.0,0.0,0.0,60393.0,60393,60393,60393,60393,60393,60386,60393,60386,60386,59963,59709.0,2940.0,59513.0,59888.0,59483.0,59962,48394.0,4357.0,59581,60393,60393,60393,60393,60393,60393,60393,60393,60393,60393,60393,60393,60393,60393,60393,60393,60393,60393.0
unique,60393,2,,59547,58708,,,,,,44745,7121,765,71,3,8705,1,2,121,26882,,,,,,24,,,36,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,
top,A-1,Source2,,2016-04-10 08:59:26,2016-10-14 19:50:00,,,,,,Accident on I-80 Westbound at Exits 8A 8B I-880.,US-101 N,Sacramento,Los Angeles,CA,94551,US,US/Pacific,KMCC,2016-06-23 19:53:00,,,,,,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,
freq,1,60352,,35,24,,,,,,55,1768,5223,10420,59665,515,60393,59658,3532,30,,,,,,11087,,,33542,59858,60347,55662,60246,52912,60356,59658,60389,58952,57931,60320,54150,60393,38254,40568,43021,45471,
mean,,,,,,36.78985276460848,-120.25062819445941,,,0.014193035616710543,,,,,,,,,,,64.97532867741882,41.541938775510204,61.39861878917211,29.97843240716003,9.302918480910511,,8.54424102161425,0.029343585035574937,,,,,,,,,,,,,,,,,,,2.4156773135959466
std,,,,,,1.9492249163264255,4.457174700789599,,,0.327192986867939,,,,,,,,,,,13.332341162482537,16.755433106942295,22.467068462952668,0.25419944255378757,2.0186267931070367,,4.46381391846364,0.05480100626535551,,,,,,,,,,,,,,,,,,,0.495756878678895
min,,,,,,32.544304,-123.813927,,,0.0,,,,,,,,,,,3.9,-8.4,4.0,3.01,0.1,,0.0,0.0,,,,,,,,,,,,,,,,,,,1.0
25%,,,,,,34.156551,-122.067565999999,,,0.0,,,,,,,,,,,55.9,34.4,45.0,29.9,10.0,,4.6,0.0,,,,,,,,,,,,,,,,,,,2.0
50%,,,,,,37.663849,-121.474304,,,0.0,,,,,,,,,,,64.0,40.1,63.0,29.97,10.0,,8.1,0.01,,,,,,,,,,,,,,,,,,,2.0
75%,,,,,,38.208424,-118.329811,,,0.01,,,,,,,,,,,73.4,43.5,80.0,30.08,10.0,,10.4,0.03,,,,,,,,,,,,,,,,,,,3.0
max,,,,,,41.428753,-81.550728,,,51.13,,,,,,,,,,,113.0,107.0,100.0,33.04,80.0,,142.7,0.55,,,,,,,,,,,,,,,,,,,4.0
